id,startLocation_31,traffic_31,x_31,y_31,time_31,lightForLeftStraight,lightForLeftTurnRight,lightForRightStraight,lightForRightTurnRight,lightForUpStraight,lightForUpTurnRigt,lightForBottomStraight,lightForBottomTurnRight
31,startUp,turnRight,0,11,129,0,0,0,0,0,0,0,1
31,startUp,turnRight,0,10,130,0,0,0,0,0,0,0,1
31,startUp,turnRight,1,10,131,0,0,0,0,0,0,0,1
31,startUp,turnRight,2,10,132,0,0,0,0,0,0,0,1
31,startUp,turnRight,3,10,133,0,0,0,1,0,0,0,0
31,startUp,turnRight,4,10,134,0,0,0,1,0,0,0,0
31,startUp,turnRight,5,10,135,0,0,0,1,0,0,0,0
31,startUp,turnRight,6,10,136,0,0,0,1,0,0,0,0
31,startUp,turnRight,7,10,137,0,0,0,1,0,0,0,0
31,startUp,turnRight,8,10,138,0,0,0,1,0,0,0,0
31,startUp,turnRight,9,10,139,0,0,0,0,1,0,1,0
31,startUp,turnRight,10,10,140,0,0,0,0,1,0,1,0
31,startUp,turnRight,11,10,141,0,0,0,0,1,0,1,0
31,startUp,turnRight,11,10,142,0,0,0,0,1,0,1,0
31,startUp,turnRight,11,10,143,0,0,0,0,1,0,1,0
31,startUp,turnRight,11,10,144,0,0,0,0,1,0,1,0
31,startUp,turnRight,11,10,145,1,0,1,0,0,0,0,0
31,startUp,turnRight,11,10,146,1,0,1,0,0,0,0,0
31,startUp,turnRight,11,10,147,1,0,1,0,0,0,0,0
31,startUp,turnRight,11,10,148,1,0,1,0,0,0,0,0
31,startUp,turnRight,11,10,149,1,0,1,0,0,0,0,0
31,startUp,turnRight,11,10,150,1,0,1,0,0,0,0,0
31,startUp,turnRight,11,10,151,0,1,0,0,0,0,0,0
31,startUp,turnRight,11,10,152,0,1,0,0,0,0,0,0
31,startUp,turnRight,11,10,153,0,1,0,0,0,0,0,0
31,startUp,turnRight,11,10,154,0,1,0,0,0,0,0,0
31,startUp,turnRight,11,10,155,0,1,0,0,0,0,0,0
31,startUp,turnRight,11,10,156,0,1,0,0,0,0,0,0
31,startUp,turnRight,11,10,157,0,0,0,0,0,1,0,0
31,startUp,turnRight,12,10,158,0,0,0,0,0,1,0,0
31,startUp,turnRight,13,10,159,0,0,0,0,0,1,0,0
31,startUp,turnRight,14,10,160,0,0,0,0,0,1,0,0
31,startUp,turnRight,14,9,161,0,0,0,0,0,1,0,0
31,startUp,turnRight,14,8,162,0,0,0,0,0,1,0,0
31,startUp,turnRight,14,7,163,0,0,0,0,0,0,0,1
31,startUp,turnRight,14,6,164,0,0,0,0,0,0,0,1
31,startUp,turnRight,14,5,165,0,0,0,0,0,0,0,1
31,startUp,turnRight,14,4,166,0,0,0,0,0,0,0,1
31,startUp,turnRight,14,3,167,0,0,0,0,0,0,0,1
31,startUp,turnRight,14,2,168,0,0,0,0,0,0,0,1
31,startUp,turnRight,14,1,169,0,0,0,1,0,0,0,0
31,startUp,turnRight,14,0,170,0,0,0,1,0,0,0,0
